left,right
37,13
40,64.7
43,42.5
68,82.3
25.3,61.1
25.8,60.8
27.4,18
27.7,64.6
29.7,69.4
29.9,55.7
30.7,25.19
31.1,55.9
31.6,51.9
32.3,63.5
35.6,65.2
35.7,47.3
36.1,59.4
36.6,62
36.9,67.9
38.3,62.4
38.6,37.7
39.2,58.5
39.3,30.4
41.2,73
42.8,44.7
43.6,63.4
44.5,68
49.9,60.4
51.4,47.2
52.5,52.7
53.4,55
53.7,57.8
54.8,55.9
54.9,67.1
55.4,68.5
55.9,61
56.6,66.4
57.7,56.6
58.5,66.5
59.8,59.18
63.6,58
63.6,69.9
63.7,74.7
64.3,59.4
66.3,69.2
66.4,67.7
66.7,74
68.8,60.6
69.3,69.2
69.7,70.3
74.8,66.8
