Year,ComputerScience
1970,13.6
1971,13.6
1972,14.9
1973,16.4
1974,18.9
1975,19.8
1976,23.9
1977,25.7
1978,28.1
1979,30.2
1980,32.5
1981,34.8
1982,36.3
1983,37.1
1984,36.8
1985,35.7
1986,34.7
1987,32.4
1988,30.8
1989,29.9
1990,29.4
1991,28.7
1992,28.2
1993,28.5
1994,28.5
1995,27.5
1996,27.1
1997,26.8
1998,27
1999,28.1
2000,27.7
2001,27.6
2002,27
2003,25.1
2004,22.2
2005,20.6
2006,18.6
2007,17.6
2008,17.8
2009,18.1
2010,17.6
2011,18.2
